STEP 0; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=6];
STEP 75; EVENT position; UNIT rover-1; POSITION Coordinate[X=5, Y=0];
STEP 76; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=0];
STEP 77; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=0];
STEP 78; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=1];
STEP 79; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=2];
STEP 80; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=2];
STEP 81; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=2];
STEP 82; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=1];
STEP 83; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=1];
STEP 84; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=0];
STEP 85; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=0];
STEP 86; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=0];
STEP 87; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=1];
STEP 88; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=1];
STEP 89; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 90; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 91; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=3];
STEP 92; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=3];
STEP 93; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=4];
STEP 94; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=4];
STEP 95; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=5];
STEP 96; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=6];
STEP 97; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 98; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 99; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 100; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=4];
STEP 101; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=3];
STEP 102; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 103; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 104; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=2];
STEP 105; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=2];
STEP 106; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=2];
STEP 107; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=3];
STEP 108; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 109; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 110; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 111; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 112; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 113; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 114; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 115; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 116; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 117; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=3];
STEP 118; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 119; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 120; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=1];
STEP 121; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=0];
STEP 122; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=1];
STEP 123; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=1];
STEP 124; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=0];
STEP 125; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=0];
STEP 126; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=0];
STEP 127; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=1];
STEP 128; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=1];
STEP 129; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=0];
STEP 130; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=0];
STEP 131; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=1];
STEP 132; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=1];
STEP 133; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=1];
STEP 134; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=0];
STEP 135; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=0];
STEP 136; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=0];
STEP 137; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=0];
STEP 138; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=1];
STEP 139; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 140; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=2];
STEP 141; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=1];
STEP 142; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=2];
STEP 143; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=2];
STEP 144; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=1];
STEP 145; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=2];
STEP 146; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=2];
STEP 147; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=3];
STEP 148; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=4];
STEP 149; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=4];
STEP 150; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=5];
STEP 151; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=6];
STEP 152; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=7];
STEP 153; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=6];
STEP 154; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=6];
STEP 155; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=6];
STEP 156; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=5];
STEP 157; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=4];
STEP 158; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=5];
STEP 159; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=4];
STEP 160; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=5];
STEP 161; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=6];
STEP 162; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=6];
STEP 163; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=7];
STEP 164; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=7];
STEP 165; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=7];
STEP 166; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=6];
STEP 167; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 168; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 169; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 170; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 171; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 172; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 173; EVENT position; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 174; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 175; EVENT position; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 176; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 177; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 178; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 179; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 180; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 181; EVENT position; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 182; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 183; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 184; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 185; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 186; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 187; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 188; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 189; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 190; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 191; EVENT position; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 192; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 193; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 194; EVENT position; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 195; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 196; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=4];
STEP 197; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 198; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=4];
STEP 199; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 200; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 201; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 202; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 203; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 204; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 205; EVENT position; UNIT rover-1; POSITION Coordinate[X=12, Y=3];
STEP 206; EVENT position; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 207; EVENT position; UNIT rover-1; POSITION Coordinate[X=10, Y=3];
STEP 208; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=3];
STEP 209; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=3];
STEP 210; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=2];
STEP 211; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=2];
STEP 212; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=2];
STEP 213; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=3];
STEP 214; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=4];
STEP 215; EVENT position; UNIT rover-1; POSITION Coordinate[X=9, Y=4];
STEP 216; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=4];
STEP 217; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=4];
STEP 218; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=4];
STEP 219; EVENT position; UNIT rover-1; POSITION Coordinate[X=7, Y=4];
STEP 220; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=4];
STEP 221; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=5];
STEP 222; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=6];
STEP 223; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=7];
STEP 224; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=8];
STEP 225; EVENT position; UNIT rover-1; POSITION Coordinate[X=6, Y=9];
STEP 226; EVENT OUTCOME COLONIZABLE; STATUS EXPLORE; UNIT rover-1; POSITION Coordinate[X=7, Y=9];
STEP 228; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=8, Y=9];
STEP 229; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=9, Y=9];
STEP 230; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=10, Y=9];
STEP 231; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=9];
STEP 232; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=9];
STEP 233; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=9];
STEP 234; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=9];
STEP 235; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=15, Y=9];
STEP 236; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=15, Y=8];
STEP 237; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=15, Y=7];
STEP 238; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=15, Y=6];
STEP 239; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=15, Y=5];
STEP 240; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=15, Y=5];
STEP 241; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=15, Y=5];
STEP 242; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 243; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=13, Y=5];
STEP 244; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=12, Y=5];
STEP 245; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 246; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_NEW_BASE_LOCATION; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 247; EVENT OUTCOME COLONIZABLE; STATUS BUILD_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 248; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 249; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 250; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 251; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 252; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 253; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 254; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 255; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 256; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 257; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 258; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 259; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 260; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 261; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 262; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 263; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 264; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 265; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 266; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 267; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 268; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 269; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 270; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 271; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 272; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 273; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 274; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 275; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 276; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 277; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 278; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 279; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 280; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 281; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 282; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 283; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 284; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 285; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 286; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 287; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 288; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 289; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 290; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 291; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 292; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
